bedroom,foyer,kitchen,living,soho,location
-59,-90,-76,-67,-80,bedroom
-59,-95,-79,-77,-70,bedroom
-52,-81,-86,-90,-76,bedroom
-66,-83,-81,-69,-70,bedroom
-71,-91,-90,-77,-71,bedroom
-68,-94,-74,-77,-71,bedroom
-83,-88,-75,-74,-76,bedroom
-67,-78,-76,-81,-66,bedroom
-61,-85,-84,-81,-84,bedroom
-68,-94,-88,-92,-87,bedroom
-61,-88,-67,-67,-68,bedroom
-62,-87,-79,-78,-87,bedroom
-57,-87,-72,-70,-81,bedroom
-68,-85,-82,-91,-81,bedroom
-78,-94,-93,-70,-61,bedroom
-63,-87,-73,-72,-71,bedroom
-80,-78,-68,-75,-83,bedroom
-64,-78,-82,-82,-76,bedroom
-65,-79,-86,-73,-77,bedroom
-68,-81,-71,-77,-78,bedroom
-54,-83,-75,-72,-84,bedroom
-70,-84,-95,-85,-71,bedroom
-74,-85,-88,-72,-63,bedroom
-76,-90,-84,-67,-71,bedroom
-56,-80,-85,-73,-68,bedroom
-54,-78,-87,-87,-84,bedroom
-67,-101,-83,-92,-82,bedroom
-71,-95,-81,-67,-92,bedroom
-68,-83,-69,-76,-76,bedroom
-74,-92,-83,-91,-85,bedroom
-66,-84,-74,-89,-71,bedroom
-63,-93,-81,-88,-85,bedroom
-63,-94,-80,-97,-81,bedroom
-82,-89,-67,-72,-80,bedroom
-70,-82,-79,-78,-64,bedroom
-55,-86,-79,-92,-70,bedroom
-72,-76,-77,-74,-69,bedroom
-70,-80,-90,-89,-74,bedroom
-69,-73,-81,-69,-80,bedroom
-58,-76,-75,-86,-87,bedroom
-56,-82,-80,-81,-64,bedroom
-75,-88,-88,-71,-72,bedroom
-70,-83,-76,-70,-74,bedroom
-64,-84,-88,-90,-83,bedroom
-71,-76,-74,-79,-84,bedroom
-70,-79,-87,-86,-86,bedroom
-53,-80,-96,-75,-80,bedroom
-63,-84,-86,-73,-77,bedroom
-63,-96,-73,-82,-71,bedroom
-60,-80,-80,-90,-87,bedroom
-55,-84,-74,-86,-66,bedroom
-62,-87,-89,-90,-76,bedroom
-80,-80,-78,-79,-87,bedroom
-74,-100,-84,-87,-92,bedroom
-72,-98,-86,-90,-84,bedroom
-67,-90,-87,-85,-81,bedroom
-67,-80,-78,-81,-80,bedroom
-71,-81,-86,-73,-66,bedroom
-65,-77,-67,-72,-86,bedroom
-57,-81,-91,-89,-91,bedroom
-71,-91,-90,-74,-90,bedroom
-58,-87,-81,-77,-82,bedroom
-56,-88,-77,-94,-70,bedroom
-73,-86,-84,-81,-84,bedroom
-66,-83,-78,-82,-75,bedroom
-62,-85,-79,-77,-80,bedroom
-57,-99,-76,-85,-79,bedroom
-67,-95,-92,-83,-95,bedroom
-70,-81,-77,-86,-80,bedroom
-61,-87,-67,-89,-84,bedroom
-76,-98,-98,-87,-99,bedroom
-57,-76,-92,-83,-87,bedroom
-80,-80,-74,-82,-87,bedroom
-63,-86,-80,-87,-80,bedroom
-58,-83,-81,-83,-85,bedroom
-57,-84,-80,-82,-87,bedroom
-85,-85,-88,-82,-85,bedroom
-63,-79,-85,-89,-82,bedroom
-82,-80,-96,-94,-101,bedroom
-62,-83,-80,-82,-80,bedroom
-67,-81,-83,-87,-75,bedroom
-76,-85,-79,-73,-85,bedroom
-67,-79,-79,-79,-71,bedroom
-74,-87,-90,-93,-96,bedroom
-54,-77,-79,-88,-81,bedroom
-51,-71,-87,-79,-79,bedroom
-65,-94,-85,-80,-92,bedroom
-59,-79,-71,-71,-67,bedroom
-68,-86,-78,-74,-88,bedroom
-56,-76,-81,-75,-86,bedroom
-70,-91,-82,-75,-82,bedroom
-58,-80,-72,-70,-68,bedroom
-57,-86,-67,-73,-75,bedroom
-66,-99,-86,-89,-99,bedroom
-85,-86,-80,-98,-72,bedroom
-50,-84,-75,-78,-69,bedroom
-50,-92,-73,-82,-66,bedroom
