date,Usage_kWh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
1/1/2018 0:15,3.17,0,73.21,100,900,Weekday,Monday,Light_Load
1/1/2018 0:30,4,0,66.77,100,1800,Weekday,Monday,Light_Load
1/1/2018 0:45,3.24,0,70.28,100,2700,Weekday,Monday,Light_Load
1/1/2018 1:00,3.31,0,68.09,100,3600,Weekday,Monday,Light_Load
1/1/2018 1:15,3.82,0,64.72,100,4500,Weekday,Monday,Light_Load
1/1/2018 1:30,3.28,0,67.76,100,5400,Weekday,Monday,Light_Load
1/1/2018 1:45,3.6,0,65.62,100,6300,Weekday,Monday,Light_Load
1/1/2018 2:00,3.6,0,64.37,100,7200,Weekday,Monday,Light_Load
1/1/2018 2:15,3.28,0,66.94,100,8100,Weekday,Monday,Light_Load
1/1/2018 2:30,3.78,0,62.51,100,9000,Weekday,Monday,Light_Load
1/1/2018 2:45,3.46,0,65.14,100,9900,Weekday,Monday,Light_Load
1/1/2018 3:00,3.24,0,66.49,100,10800,Weekday,Monday,Light_Load
1/1/2018 3:15,3.96,0,62.32,100,11700,Weekday,Monday,Light_Load
1/1/2018 3:30,3.31,0,66.27,100,12600,Weekday,Monday,Light_Load
1/1/2018 3:45,3.31,0,65.19,100,13500,Weekday,Monday,Light_Load
1/1/2018 4:00,3.89,0,61.4,100,14400,Weekday,Monday,Light_Load
1/1/2018 4:15,3.28,0,65.14,100,15300,Weekday,Monday,Light_Load
1/1/2018 4:30,3.56,0,63.95,100,16200,Weekday,Monday,Light_Load
1/1/2018 4:45,3.74,0,63.58,100,17100,Weekday,Monday,Light_Load
1/1/2018 5:00,3.31,0,67.68,100,18000,Weekday,Monday,Light_Load
1/1/2018 5:15,3.56,0,65.84,100,18900,Weekday,Monday,Light_Load
1/1/2018 5:30,3.56,0,65.56,100,19800,Weekday,Monday,Light_Load
1/1/2018 5:45,3.28,0,68.48,100,20700,Weekday,Monday,Light_Load
1/1/2018 6:00,3.78,0,65.85,100,21600,Weekday,Monday,Light_Load
1/1/2018 6:15,3.35,0,67.72,100,22500,Weekday,Monday,Light_Load
1/1/2018 6:30,3.24,0,69.52,100,23400,Weekday,Monday,Light_Load
1/1/2018 6:45,3.89,0,65.73,100,24300,Weekday,Monday,Light_Load
1/1/2018 7:00,3.31,0,68.4,100,25200,Weekday,Monday,Light_Load
1/1/2018 7:15,3.28,0,68.48,100,26100,Weekday,Monday,Light_Load
1/1/2018 7:30,3.85,0,62.97,100,27000,Weekday,Monday,Light_Load
1/1/2018 7:45,3.2,0,66.44,100,27900,Weekday,Monday,Light_Load
1/1/2018 8:00,3.31,0,65.88,100,28800,Weekday,Monday,Light_Load
1/1/2018 8:15,3.78,0,62.27,100,29700,Weekday,Monday,Light_Load
1/1/2018 8:30,3.28,0,65.94,100,30600,Weekday,Monday,Light_Load
1/1/2018 8:45,3.49,0,61.63,99.87,31500,Weekday,Monday,Light_Load
1/1/2018 9:00,3.89,0,100,24.11,32400,Weekday,Monday,Light_Load
1/1/2018 9:15,3.6,0,100,20.76,33300,Weekday,Monday,Light_Load
1/1/2018 9:30,4.03,0,100,18.61,34200,Weekday,Monday,Light_Load
